Trade dAte,Expiry Date,Put=1 Call=0,Strike x 1000,Bid Price,Ask Price,Volume,Implied Vol,Delta ,Open Interest,Vega
18/03/04,17/04/04,0,1.01E+06,119.7,121.7,0,0.30257,0.91107,140,49.491
18/03/04,17/04/04,0,1.01E+06,114.4,116.4,0,0.28616,0.91272,0,48.795
18/03/04,17/04/04,0,1.02E+06,109.6,111.6,0,0.27986,0.90713,0,51.135
18/03/04,17/04/04,0,1.03E+06,100.5,102.5,0,0.27513,0.88823,33,58.627
18/03/04,17/04/04,0,1.03E+06,95.7,97.7,0,0.26763,0.88179,0,61.044
18/03/04,17/04/04,0,1.04E+06,91,93,0,0.26145,0.87364,0,64.004
18/03/04,17/04/04,0,1.04E+06,86.3,88.3,0,0.25489,0.8651,0,67.001
18/03/04,17/04/04,0,1.05E+06,77.1,79.1,13,0.2434,0.84405,434,73.945
18/03/04,17/04/04,0,1.06E+06,68,70,0,0.23123,0.81958,0,81.293
18/03/04,17/04/04,0,1.07E+06,59.1,61.1,0,0.21926,0.78996,0,89.236
18/03/04,17/04/04,0,1.08E+06,54.8,56.5,44,0.21237,0.77384,6126,93.154
18/03/04,17/04/04,0,1.08E+06,50.6,52.6,0,0.20899,0.75267,4,97.894
18/03/04,17/04/04,0,1.09E+06,42.4,44.4,1,0.19848,0.70849,95,106.38
18/03/04,17/04/04,1,1.01E+06,1.7,2.2,1227,0.25577,-0.056052,2121,35.091
18/03/04,17/04/04,1,1.01E+06,1.95,2.45,2000,0.25331,-0.062653,0,38.292
18/03/04,17/04/04,1,1.02E+06,2,2.8,0,0.2489,-0.068491,0,41.03
18/03/04,17/04/04,1,1.03E+06,2.3,3,2380,0.23547,-0.078127,18738,45.377
18/03/04,17/04/04,1,1.03E+06,2.6,3.4,170,0.23303,-0.087462,0,49.399
18/03/04,17/04/04,1,1.04E+06,2.8,3.6,256,0.22696,-0.094401,7467,52.278
18/03/04,17/04/04,1,1.04E+06,3.2,3.9,24,0.22321,-0.10434,0,56.247
18/03/04,17/04/04,1,1.05E+06,4,4.6,1692,0.21455,-0.12622,33447,64.4
18/03/04,17/04/04,1,1.06E+06,4.8,5.6,1,0.2055,-0.1525,0,73.247
18/03/04,17/04/04,1,1.07E+06,5.7,6.9,255,0.19623,-0.18436,0,82.757
18/03/04,17/04/04,1,1.08E+06,6.5,7.4,209,0.19162,-0.20288,22932,87.73
18/03/04,17/04/04,1,1.08E+06,7.1,8.3,319,0.18726,-0.22361,4158,92.849
18/03/04,17/04/04,1,1.09E+06,9,10.2,99,0.17973,-0.2727,862,103.23
18/03/04,17/04/04,0,1.11E+06,27.6,29.6,319,0.17999,0.59336,948,120.39
18/03/04,17/04/04,0,1.12E+06,24.3,26.3,35,0.17577,0.55905,50,122.46
18/03/04,17/04/04,0,1.12E+06,21.3,22.8,1115,0.17058,0.52277,2297,123.64
18/03/04,17/04/04,0,1.13E+06,18.6,19.5,4189,0.16595,0.48431,14950,123.77
18/03/04,17/04/04,0,1.13E+06,16,17.2,1257,0.1642,0.44526,1841,122.71
18/03/04,17/04/04,0,1.14E+06,11.4,12.4,523,0.15737,0.36413,3435,116.65
18/03/04,17/04/04,0,1.15E+06,8,9.2,2899,0.15568,0.28978,22973,106.3
18/03/04,17/04/04,0,1.16E+06,5.2,5.8,387,0.14841,0.21368,5197,90.456
18/03/04,17/04/04,0,1.17E+06,3.4,4.2,103,0.14898,0.15904,3463,75.302
18/03/04,17/04/04,0,1.18E+06,2.9,3.2,453,0.14807,0.13376,21299,67.04
18/03/04,17/04/04,0,1.18E+06,2.05,2.5,19,0.14464,0.10712,617,57.327
18/03/04,17/04/04,0,1.19E+06,1.25,1.75,287,0.14591,0.075006,696,43.992
18/03/04,17/04/04,0,1.10E+06,34.7,36.7,656,0.18885,0.65547,2573,114.22
18/03/04,17/04/04,1,1.11E+06,14,15.6,675,0.16376,-0.39809,5388,119.83
18/03/04,17/04/04,1,1.12E+06,15.8,17.3,351,0.16027,-0.43575,3059,122.27
18/03/04,17/04/04,1,1.12E+06,17.6,19.2,2144,0.15609,-0.47548,6753,123.63
18/03/04,17/04/04,1,1.13E+06,20.5,21.4,7159,0.15595,-0.51655,20881,123.74
18/03/04,17/04/04,1,1.13E+06,21.9,23.9,15,0.14924,-0.56058,3560,122.39
18/03/04,17/04/04,1,1.14E+06,27.3,29.3,133,0.14248,-0.64971,3314,114.93
18/03/04,17/04/04,1,1.15E+06,34,35.7,589,0.13775,-0.73482,18836,101.54
18/03/04,17/04/04,1,1.16E+06,40.9,42.9,0,0.12855,-0.8205,2881,81.03
18/03/04,17/04/04,1,1.17E+06,48.9,50.9,20,0.1188,-0.89513,33,55.965
18/03/04,17/04/04,1,1.18E+06,53.2,55.2,87,0.11301,-0.92709,1369,42.482
18/03/04,17/04/04,1,1.18E+06,57.5,59.5,4,0.099221,-0.96478,1,23.432
18/03/04,17/04/04,1,1.19E+06,66.6,68.6,0,-99.99,-99.99,10,-99.99
18/03/04,17/04/04,1,1.10E+06,11.6,12.4,6743,0.17247,-0.33107,35028,112.63
18/03/04,17/04/04,0,8.25E+05,297.6,299.6,0,0.59917,0.97229,0,19.046
18/03/04,17/04/04,0,8.50E+05,272.6,274.6,0,0.54827,0.97029,0,20.24
18/03/04,17/04/04,0,8.75E+05,247.7,249.7,0,0.50306,0.96687,0,22.237
18/03/04,17/04/04,0,8.00E+05,322.6,324.6,0,0.65134,0.97405,0,17.983
18/03/04,17/04/04,1,8.25E+05,0.05,0.5,0,0.45172,-0.005874,4090,5.1857
18/03/04,17/04/04,1,8.50E+05,0.1,0.5,10,0.41639,-0.006863,1348,5.9519
18/03/04,17/04/04,1,8.75E+05,0.1,0.6,9,0.38461,-0.0085,231,7.1853
18/03/04,17/04/04,1,8.00E+05,0.1,0.5,700,0.49737,-0.005804,2560,5.1309
18/03/04,17/04/04,0,7.25E+05,397.5,399.5,0,0.81016,0.97897,0,14.908
18/03/04,17/04/04,0,7.50E+05,372.5,374.5,0,0.75372,0.97776,0,15.674
18/03/04,17/04/04,0,7.75E+05,347.5,349.5,0,0.69894,0.97643,0,16.513
18/03/04,17/04/04,0,7.00E+05,422.5,424.5,0,0.86843,0.98006,1,14.202
18/03/04,17/04/04,1,7.25E+05,0,0.5,0,0.61449,-0.004017,0,3.6963
18/03/04,17/04/04,1,7.50E+05,0,0.5,0,0.57077,-0.004312,0,3.9378
18/03/04,17/04/04,1,7.75E+05,0.05,0.5,0,0.53404,-0.005011,120,4.5034
18/03/04,17/04/04,1,7.00E+05,0,0.5,0,0.65959,-0.003752,220,3.4773
18/03/04,17/04/04,0,9.25E+05,198.1,200.1,0,0.42055,0.95561,749,28.473
18/03/04,17/04/04,0,9.50E+05,173.4,175.4,0,0.38128,0.94699,55,32.948
18/03/04,17/04/04,0,9.75E+05,148.9,150.9,0,0.34556,0.93379,22,39.382
18/03/04,17/04/04,0,9.95E+05,129.4,131.4,1,0.31687,0.91975,50,45.758
18/03/04,17/04/04,0,9.00E+05,222.9,224.9,0,0.46215,0.9617,3,25.159
18/03/04,17/04/04,1,9.25E+05,0.5,0.8,6402,0.33533,-0.016817,11312,12.982
18/03/04,17/04/04,1,9.50E+05,0.8,1,7159,0.31063,-0.024062,5946,17.59
18/03/04,17/04/04,1,9.75E+05,0.9,1.4,667,0.2809,-0.032674,10309,22.693
18/03/04,17/04/04,1,9.95E+05,1.4,1.6,5612,0.25974,-0.044134,13095,29
18/03/04,17/04/04,1,9.00E+05,0.1,0.6,28,0.34566,-0.009389,6130,7.8395
18/03/04,17/04/04,0,1.23E+06,0.3,0.5,385,0.15659,0.022386,13374,16.553
18/03/04,17/04/04,0,1.25E+06,0.05,0.25,2,0.16338,0.008942,2194,7.5121
18/03/04,17/04/04,0,1.28E+06,0.05,0.15,0,0.18062,0.005651,1669,5.0111
18/03/04,17/04/04,0,1.20E+06,0.85,0.95,1157,0.14497,0.048707,12560,31.388
18/03/04,17/04/04,1,1.23E+06,100.3,102.3,1,-99.99,-99.99,111,-99.99
18/03/04,17/04/04,1,1.25E+06,125.1,127.1,0,-99.99,-99.99,58,-99.99
18/03/04,17/04/04,1,1.28E+06,150,152,10,-99.99,-99.99,1,-99.99
18/03/04,17/04/04,1,1.20E+06,76,78,65,-99.99,-99.99,830,-99.99